EntryID,Split,TRANSCRIPTIONAL,CHROMOSOME,NUCLEAR_PORE_COMPLEX,NUCLEAR_SPECKLE,P-BODY,PML-BDOY,POST_SYNAPTIC_DENSITY,STRESS_GRANULE,NUCLEOLUS,CAJAL_BODY,RNA_GRANULE,CELL_JUNCTION
A0A024R2Q3_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
A0A024R5U5_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
A0A024R6A3_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
A0A0S2Z381_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
NBDY_HUMAN,train,0,0,0,0,1,0,0,0,0,0,0,0
A0A1U9X797_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
ZC12D_HUMAN,train,0,0,0,0,1,0,0,0,0,0,0,0
RCCD1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
WTIP_HUMAN,train,0,0,0,0,1,0,0,0,0,0,0,1
CENPX_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MEI4_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MCRI1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
CBX4_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
SAP18_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
IF2B3_HUMAN,train,0,0,0,0,1,0,0,1,0,0,0,0
PLK4_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
CLD5_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
KRIT1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PESC_HUMAN,train,0,1,0,0,0,0,0,0,1,0,0,0
SDCB1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
MPP10_HUMAN,train,0,1,0,0,0,0,0,0,1,0,0,0
NOP56_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
DDX3X_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
F16P2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CLD4_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
DC1I1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
ADA10_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
ANM5_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
TERT_HUMAN,train,0,1,0,0,0,0,0,0,1,0,0,0
CHK1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
NDC80_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
LIN7A_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
GAK_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
XPO1_HUMAN,train,0,0,0,0,0,0,0,0,1,1,0,0
SET1A_HUMAN,train,0,1,0,1,0,0,0,0,0,0,0,0
PER2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
SYNEM_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
LSM1_HUMAN,train,0,0,0,0,1,0,0,0,0,0,0,0
CETN3_HUMAN,train,0,0,1,0,0,0,0,0,1,0,0,0
NKRF_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
ZN185_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CASC3_HUMAN,train,0,0,0,1,0,0,0,1,0,0,1,0
NPHP1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
ATX7_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
LX15B_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
HMGB3_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
SHIP2_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
NVL_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
BIRC5_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MRP5_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
RPA34_HUMAN,train,0,1,0,0,0,0,0,0,1,0,0,0
NUP42_HUMAN,train,0,0,1,0,0,0,0,0,0,0,0,0
PDPK1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CLD3_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
TET3_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RRP8_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
PRP4_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
ZW10_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
TGFI1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PRPF3_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
PPIH_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
SUV91_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MS18B_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
PLRG1_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
PRC1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
ZN207_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
GET3_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
BUB1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
BUB3_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CYH3_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
DYRK3_HUMAN,train,0,0,0,1,0,0,0,1,0,0,0,0
SPOP_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
AKAP8_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
ORC5_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RAD21_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
SMCA5_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
PI51C_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PEPL_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
VINEX_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
IF4E2_HUMAN,train,0,0,0,0,1,0,0,0,0,0,0,0
LPXN_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CTND1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CC14B_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
H2B1K_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
DKC1_HUMAN,train,0,0,0,0,0,0,0,0,1,1,0,0
NBN_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
NOL3_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
MTG16_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
N4BP1_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
CPNE3_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
NPHP4_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CREST_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
ZPR1_HUMAN,train,0,0,0,0,0,0,0,0,1,1,0,0
DUS11_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
FKBP6_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
AVIL_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
H2AY_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
PR40A_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
CDC45_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
